City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hafar al-batin,28.4328,45.9708,7.32,70,0,1.03,SA,1736901583
1,olonkinbyen,70.9221,-8.7187,-0.37,99,100,5.21,SJ,1736901661
2,berdigestyakh,62.0989,126.6992,-30.52,88,100,4.79,RU,1736901661
3,margaret river,-33.95,115.0667,18.25,53,55,1.39,AU,1736901588
4,saint-philippe,-21.3585,55.7679,25.85,81,95,5.8,RE,1736901661
5,kottayam,9.5833,76.5167,22.69,88,100,0.84,IN,1736901661
6,bonthe,7.5264,-12.505,25.01,81,33,2.55,SL,1736901661
7,dudinka,69.4058,86.1778,-18.21,96,98,4.0,RU,1736901592
8,ushuaia,-54.8,-68.3,8.81,71,75,10.29,AR,1736901426
9,flying fish cove,-10.4217,105.6791,24.82,88,100,3.09,CX,1736901662
10,punta arenas,-53.15,-70.9167,12.06,54,0,13.89,CL,1736901445
11,wailua homesteads,22.0669,-159.378,26.44,75,0,4.63,US,1736901662
12,xai-xai,-25.0519,33.6442,24.19,81,93,3.35,MZ,1736901662
13,luderitz,-26.6481,15.1594,16.32,77,0,5.32,NA,1736901662
14,kerikeri,-35.2268,173.9474,24.07,40,39,3.88,NZ,1736901663
15,saipan,15.1355,145.701,31.39,68,0,7.72,MP,1736901663
16,fort bragg,35.139,-79.006,4.89,45,0,0.0,US,1736901601
17,sallanches,45.9442,6.6316,-5.32,53,100,3.07,FR,1736901663
18,klyuchi,52.2667,79.1667,-11.8,82,48,4.33,RU,1736901603
19,whitehorse,60.7161,-135.0538,3.43,41,75,2.57,CA,1736901662
20,machico,32.7,-16.7667,18.35,68,40,5.66,PT,1736901663
21,armidale,-30.5167,151.65,29.37,37,0,5.46,AU,1736901663
22,st. john's,47.5649,-52.7093,-1.68,91,100,1.34,CA,1736901519
23,bredasdorp,-34.5322,20.0403,15.38,62,100,5.1,ZA,1736901664
24,broken hill,-31.95,141.4333,27.2,32,100,5.87,AU,1736901664
25,crane,31.3974,-102.3501,9.98,44,5,3.82,US,1736901664
26,tsiombe,-25.3,45.4833,24.14,93,100,2.51,MG,1736901664
27,khandyga,62.6667,135.6,-40.55,100,82,0.94,RU,1736901664
28,gadzhiyevo,69.2551,33.3362,-10.76,93,100,3.23,RU,1736901614
29,adamstown,-25.066,-130.1015,23.27,88,97,9.6,PN,1736901664
30,reyes,-14.3167,-67.3833,23.62,96,100,1.41,BO,1736901665
31,waitangi,-43.9535,-176.5597,17.68,91,5,2.24,NZ,1736901665
32,gargalianoi,37.0667,21.6333,7.45,79,18,4.01,GR,1736901620
33,tangalle,6.024,80.7911,23.4,91,69,3.48,LK,1736901665
34,georgetown,5.4112,100.3354,27.96,72,20,4.12,MY,1736901665
35,burry port,51.6843,-4.2469,8.99,99,3,2.57,GB,1736901623
36,port-aux-francais,-49.35,70.2167,5.25,85,89,18.9,TF,1736901666
37,san isidro de curuguaty,-24.5167,-55.7,21.99,88,17,4.71,PY,1736901625
38,wynyard,-41.0,145.7167,18.44,97,100,6.71,AU,1736901627
39,benjamin constant,-4.3831,-70.0311,26.03,95,40,1.03,BR,1736901666
40,albany,42.6001,-73.9662,-5.64,60,33,2.24,US,1736901666
41,touros,-5.1989,-35.4608,26.45,80,14,4.78,BR,1736901666
42,papatowai,-46.5619,169.4708,15.9,59,9,6.2,NZ,1736901667
43,bethel,41.3712,-73.414,-2.21,51,99,2.68,US,1736901633
44,hjo,58.3013,14.2878,1.99,93,1,3.31,SE,1736901667
45,luau,-10.7073,22.2247,18.23,95,100,2.21,AO,1736901667
46,quellon,-43.1167,-73.6167,12.88,81,100,3.47,CL,1736901636
47,mount isa,-20.7333,139.5,31.87,48,8,5.66,AU,1736901638
48,udachny,66.4167,112.4,-26.16,100,100,0.85,RU,1736901639
49,petropavlovsk-kamchatsky,53.0452,158.6483,-15.67,56,20,4.0,RU,1736901640
50,mattoon,39.4831,-88.3728,-12.03,67,0,3.6,US,1736901560
51,college,64.8569,-147.8028,-4.95,86,100,0.0,US,1736901642
52,ust-nera,64.5667,143.2,-36.11,93,88,1.19,RU,1736901643
53,hithadhoo,-0.6,73.0833,27.64,76,23,6.48,MV,1736901644
54,blackmans bay,-43.0167,147.3167,22.07,68,100,3.29,AU,1736901645
55,buala,-8.145,159.5921,29.86,70,86,2.09,SB,1736901646
56,edinburgh of the seven seas,-37.0676,-12.3116,17.83,97,96,5.5,SH,1736901647
57,milan,45.4643,9.1895,1.12,82,31,1.02,IT,1736901616
58,thompson,55.7435,-97.8558,-16.91,85,100,3.6,CA,1736901649
59,puerto ayora,-0.7393,-90.3518,24.19,98,92,0.45,EC,1736901650
60,yellowknife,62.456,-114.3525,-5.33,99,75,6.17,CA,1736901651
61,santa terezinha,-29.9002,-50.0904,23.42,78,97,9.99,BR,1736901652
62,aliwal north,-30.6937,26.7114,16.85,48,0,1.55,ZA,1736901653
63,remire-montjoly,4.9167,-52.2667,25.02,83,0,1.54,GF,1736901669
